"","TCGA.3L.AA1B.01","TCGA.4N.A93T.01","TCGA.4T.AA8H.01","TCGA.5M.AAT4.01","TCGA.5M.AAT5.01","TCGA.5M.AAT6.01","TCGA.5M.AATA.01","TCGA.5M.AATE.01","TCGA.A6.2675.01","TCGA.A6.2682.01","TCGA.A6.2684.01","TCGA.A6.2685.01","TCGA.A6.2686.01","TCGA.A6.4105.01","TCGA.A6.5656.01","TCGA.A6.5657.01","TCGA.A6.5659.01","TCGA.A6.5660.01","TCGA.A6.5661.01","TCGA.A6.5662.01","TCGA.A6.5664.01","TCGA.A6.5665.01","TCGA.A6.5666.01","TCGA.A6.5667.01","TCGA.A6.6137.01","TCGA.A6.6138.01","TCGA.A6.6140.01","TCGA.A6.6141.01","TCGA.A6.6142.01","TCGA.A6.6648.01","TCGA.A6.6649.01","TCGA.A6.6650.01","TCGA.A6.6651.01","TCGA.A6.6652.01","TCGA.A6.6653.01","TCGA.A6.6654.01","TCGA.A6.6780.01","TCGA.A6.6781.01","TCGA.A6.6782.01","TCGA.A6.A565.01","TCGA.A6.A566.01","TCGA.A6.A567.01","TCGA.A6.A56B.01","TCGA.A6.A5ZU.01","TCGA.AA.3489.01","TCGA.AA.3492.01","TCGA.AA.3495.01","TCGA.AA.3496.01","TCGA.AA.3502.01","TCGA.AA.3506.01","TCGA.AA.3509.01","TCGA.AA.3511.01","TCGA.AA.3526.01","TCGA.AA.3655.01","TCGA.AA.3660.01","TCGA.AA.3662.01","TCGA.AA.3663.01","TCGA.AA.3675.01","TCGA.AA.3685.01","TCGA.AA.3697.01","TCGA.AA.3712.01","TCGA.AA.3713.01","TCGA.AA.A01P.01","TCGA.AA.A01X.01","TCGA.AA.A01Z.01","TCGA.AA.A02K.01","TCGA.AA.A02Y.01","TCGA.AD.5900.01","TCGA.AD.6548.01","TCGA.AD.6888.01","TCGA.AD.6889.01","TCGA.AD.6890.01","TCGA.AD.6895.01","TCGA.AD.6899.01","TCGA.AD.6901.01","TCGA.AD.6963.01","TCGA.AD.6964.01","TCGA.AD.6965.01","TCGA.AD.A5EJ.01","TCGA.AD.A5EK.01","TCGA.AM.5820.01","TCGA.AM.5821.01","TCGA.AU.3779.01","TCGA.AU.6004.01","TCGA.AY.5543.01","TCGA.AY.6196.01","TCGA.AY.6197.01","TCGA.AY.6386.01","TCGA.AY.A54L.01","TCGA.AY.A69D.01","TCGA.AY.A71X.01","TCGA.AY.A8YK.01","TCGA.AZ.4313.01","TCGA.AZ.4315.01","TCGA.AZ.4323.01","TCGA.AZ.4614.01","TCGA.AZ.4615.01","TCGA.AZ.4616.01","TCGA.AZ.4682.01","TCGA.AZ.4684.01","TCGA.AZ.5403.01","TCGA.AZ.5407.01","TCGA.AZ.6598.01","TCGA.AZ.6599.01","TCGA.AZ.6600.01","TCGA.AZ.6601.01","TCGA.AZ.6603.01","TCGA.AZ.6605.01","TCGA.AZ.6606.01","TCGA.AZ.6607.01","TCGA.AZ.6608.01","TCGA.CA.5254.01","TCGA.CA.5255.01","TCGA.CA.5256.01","TCGA.CA.5796.01","TCGA.CA.5797.01","TCGA.CA.6715.01","TCGA.CA.6716.01","TCGA.CA.6717.01","TCGA.CA.6718.01","TCGA.CA.6719.01","TCGA.CK.4947.01","TCGA.CK.4948.01","TCGA.CK.4950.01","TCGA.CK.4951.01","TCGA.CK.4952.01","TCGA.CK.5912.01","TCGA.CK.5913.01","TCGA.CK.5914.01","TCGA.CK.5915.01","TCGA.CK.5916.01","TCGA.CK.6746.01","TCGA.CK.6747.01","TCGA.CK.6748.01","TCGA.CK.6751.01","TCGA.CM.4743.01","TCGA.CM.4744.01","TCGA.CM.4747.01","TCGA.CM.4751.01","TCGA.CM.5344.01","TCGA.CM.5348.01","TCGA.CM.5349.01","TCGA.CM.5860.01","TCGA.CM.5861.01","TCGA.CM.5862.01","TCGA.CM.5863.01","TCGA.CM.5864.01","TCGA.CM.5868.01","TCGA.CM.6161.01","TCGA.CM.6162.01","TCGA.CM.6163.01","TCGA.CM.6164.01","TCGA.CM.6165.01","TCGA.CM.6166.01","TCGA.CM.6167.01","TCGA.CM.6168.01","TCGA.CM.6169.01","TCGA.CM.6170.01","TCGA.CM.6171.01","TCGA.CM.6172.01","TCGA.CM.6674.01","TCGA.CM.6675.01","TCGA.CM.6676.01","TCGA.CM.6677.01","TCGA.CM.6678.01","TCGA.CM.6679.01","TCGA.CM.6680.01","TCGA.D5.5537.01","TCGA.D5.5538.01","TCGA.D5.5539.01","TCGA.D5.5540.01","TCGA.D5.5541.01","TCGA.D5.6529.01","TCGA.D5.6530.01","TCGA.D5.6531.01","TCGA.D5.6532.01","TCGA.D5.6533.01","TCGA.D5.6534.01","TCGA.D5.6535.01","TCGA.D5.6536.01","TCGA.D5.6537.01","TCGA.D5.6538.01","TCGA.D5.6539.01","TCGA.D5.6540.01","TCGA.D5.6541.01","TCGA.D5.6898.01","TCGA.D5.6920.01","TCGA.D5.6922.01","TCGA.D5.6923.01","TCGA.D5.6924.01","TCGA.D5.6926.01","TCGA.D5.6927.01","TCGA.D5.6928.01","TCGA.D5.6929.01","TCGA.D5.6930.01","TCGA.D5.6931.01","TCGA.D5.6932.01","TCGA.D5.7000.01","TCGA.DM.A0X9.01","TCGA.DM.A0XD.01","TCGA.DM.A0XF.01","TCGA.DM.A1D0.01","TCGA.DM.A1D4.01","TCGA.DM.A1D6.01","TCGA.DM.A1D7.01","TCGA.DM.A1D8.01","TCGA.DM.A1D9.01","TCGA.DM.A1DA.01","TCGA.DM.A1DB.01","TCGA.DM.A1HA.01","TCGA.DM.A1HB.01","TCGA.DM.A280.01","TCGA.DM.A282.01","TCGA.DM.A285.01","TCGA.DM.A288.01","TCGA.DM.A28A.01","TCGA.DM.A28C.01","TCGA.DM.A28E.01","TCGA.DM.A28F.01","TCGA.DM.A28G.01","TCGA.DM.A28H.01","TCGA.DM.A28K.01","TCGA.DM.A28M.01","TCGA.F4.6459.01","TCGA.F4.6460.01","TCGA.F4.6461.01","TCGA.F4.6463.01","TCGA.F4.6569.01","TCGA.F4.6570.01","TCGA.F4.6703.01","TCGA.F4.6704.01","TCGA.F4.6805.01","TCGA.F4.6806.01","TCGA.F4.6807.01","TCGA.F4.6808.01","TCGA.F4.6809.01","TCGA.F4.6854.01","TCGA.F4.6855.01","TCGA.F4.6856.01","TCGA.G4.6293.01","TCGA.G4.6294.01","TCGA.G4.6295.01","TCGA.G4.6297.01","TCGA.G4.6298.01","TCGA.G4.6299.01","TCGA.G4.6302.01","TCGA.G4.6303.01","TCGA.G4.6304.01","TCGA.G4.6306.01","TCGA.G4.6307.01","TCGA.G4.6309.01","TCGA.G4.6310.01","TCGA.G4.6311.01","TCGA.G4.6314.01","TCGA.G4.6315.01","TCGA.G4.6317.01","TCGA.G4.6317.02","TCGA.G4.6320.01","TCGA.G4.6321.01","TCGA.G4.6322.01","TCGA.G4.6323.01","TCGA.G4.6586.01","TCGA.G4.6588.01","TCGA.G4.6625.01","TCGA.G4.6626.01","TCGA.G4.6627.01","TCGA.G4.6628.01","TCGA.NH.A50T.01","TCGA.NH.A50U.01","TCGA.NH.A50V.01","TCGA.NH.A5IV.01","TCGA.NH.A6GA.01","TCGA.NH.A6GB.01","TCGA.NH.A6GC.01","TCGA.NH.A8F7.06","TCGA.NH.A8F7.01","TCGA.NH.A8F8.01","TCGA.QG.A5YV.01","TCGA.QG.A5YW.01","TCGA.QG.A5YX.01","TCGA.QG.A5Z1.01","TCGA.QG.A5Z2.01","TCGA.QL.A97D.01","TCGA.RU.A8FL.01","TCGA.SS.A7HO.01","TCGA.T9.A92H.01","TCGA.WS.AB45.01","TCGA.AF.2687.01","TCGA.AF.2690.01","TCGA.AF.2693.01","TCGA.AF.3911.01","TCGA.AF.4110.01","TCGA.AF.5654.01","TCGA.AF.6136.01","TCGA.AF.6655.01","TCGA.AF.6672.01","TCGA.AF.A56K.01","TCGA.AF.A56L.01","TCGA.AF.A56N.01","TCGA.AG.3591.01","TCGA.AG.3592.01","TCGA.AG.3725.01","TCGA.AG.3731.01","TCGA.AG.3732.01","TCGA.AG.3742.01","TCGA.AG.3902.01","TCGA.AG.4021.01","TCGA.AG.4022.01","TCGA.AH.6544.01","TCGA.AH.6547.01","TCGA.AH.6549.01","TCGA.AH.6643.01","TCGA.AH.6644.01","TCGA.AH.6897.01","TCGA.AH.6903.01","TCGA.BM.6198.01","TCGA.CI.6619.01","TCGA.CI.6620.01","TCGA.CI.6621.01","TCGA.CI.6622.01","TCGA.CI.6623.01","TCGA.CI.6624.01","TCGA.CL.4957.01","TCGA.CL.5917.01","TCGA.CL.5918.01","TCGA.DC.4745.01","TCGA.DC.4749.01","TCGA.DC.5337.01","TCGA.DC.5869.01","TCGA.DC.6154.01","TCGA.DC.6155.01","TCGA.DC.6156.01","TCGA.DC.6157.01","TCGA.DC.6158.01","TCGA.DC.6160.01","TCGA.DC.6681.01","TCGA.DC.6682.01","TCGA.DC.6683.01","TCGA.DT.5265.01","TCGA.DY.A0XA.01","TCGA.DY.A1DC.01","TCGA.DY.A1DD.01","TCGA.DY.A1DE.01","TCGA.DY.A1DF.01","TCGA.DY.A1DG.01","TCGA.DY.A1H8.01","TCGA.EF.5830.01","TCGA.EF.5831.01","TCGA.EI.6506.01","TCGA.EI.6507.01","TCGA.EI.6508.01","TCGA.EI.6509.01","TCGA.EI.6510.01","TCGA.EI.6511.01","TCGA.EI.6512.01","TCGA.EI.6513.01","TCGA.EI.6514.01","TCGA.EI.6881.01","TCGA.EI.6882.01","TCGA.EI.6883.01","TCGA.EI.6884.01","TCGA.EI.6885.01","TCGA.EI.6917.01","TCGA.EI.7002.01","TCGA.EI.7004.01","TCGA.F5.6464.01","TCGA.F5.6465.01","TCGA.F5.6571.01","TCGA.F5.6702.01","TCGA.F5.6810.01","TCGA.F5.6811.01","TCGA.F5.6812.01","TCGA.F5.6813.01","TCGA.F5.6814.01","TCGA.F5.6861.01","TCGA.F5.6863.01","TCGA.F5.6864.01","TCGA.G5.6233.01","TCGA.G5.6235.01","TCGA.G5.6572.01","TCGA.G5.6572.02","TCGA.G5.6641.01"
"AIFM2",677.9497,983.0672,954.8529,1121.3425,595.0195,634.58,706.9583,676.1836,832.3668,521.4258,1243.6415,772.6711,666.5041,684.8648,1253.8717,896.1616,789.678,680.4124,731.3677,995.671,519.3228,870.638,623.5354,591.8389,684.4352,607.7899,819.3296,644.0105,899.6641,527.8272,1187.2758,468.1223,586.326,632.7337,1465.3715,742.3721,733.564,871.3534,1068.7831,893.5305,610.45,512.0248,709.8692,631.227,780.7284,842.9138,853.3695,452.0565,377.2947,507.0233,494.5828,936.0794,667.8882,747.3343,1069.0821,450.6329,519.7802,915.9292,691.9729,749.226,903.9739,199.2105,460.1367,553.271,937.7682,576.1626,679.1077,952.2822,906.5468,1484.5897,788.0184,1136.5248,1810.2539,829.9538,1219.2295,1276.5883,591.6971,975.7231,1214.9123,985.0575,601.2526,583.8493,840.2398,737.2909,883.6751,903.9616,749.3868,904.8202,996.1832,799.7869,652.9593,680.3274,762.1749,838.3604,466.1899,649.5098,1039.6891,1137.5187,724.0709,820.6102,559.926,613.5397,692.7646,443.2556,924.4803,513.9241,758.7531,952.7559,1416.3634,252.472,707.3469,634.151,700.333,601.7699,641.5335,917.0078,815.595,682.2955,607.3841,634.0125,635.1414,628.0642,721.7105,933.7984,936.6999,303.3156,688.6228,841.3967,715.2693,988.0107,886.2787,806.1131,732.847,750.6604,1169.8304,1103.9851,655.8771,620.0096,914.0768,710.1467,379.513,906.727,754.5615,641.6961,471.2418,694.3977,448.2289,899.2832,265.0964,766.2455,841.7262,899.8888,600.1969,688.024,548.4897,676.6379,400.4171,829.9376,458.4411,622.5303,902.9345,696.2723,729.6137,769.1266,883.812,640.4893,399.4902,1002.1032,932.9216,640.2819,468.5961,824.0931,605.6144,750.2143,674.4097,811.0721,845.8732,591.7871,549.9939,740.5142,810.0825,380.6958,931.2884,899.2612,1307.9299,764.6054,787.4016,483.4848,973.0083,805.6888,704.3034,725.9907,618.8245,610.5814,864.8773,501.4032,1199.5038,880.1333,784.7735,823.1586,1245.3681,937.042,587.4439,659.6075,1274.6975,1217.7073,1143.0464,1322.3035,572.9032,1504.0926,930.8886,842.4337,877.9343,703.2005,833.2633,1028.7041,992.1682,1069.6004,769.405,627.0642,907.9051,441.39,568.7273,1090.9868,893.1178,465.1811,490.5,606.3097,615.3934,562.7144,471.4012,886.1435,955.7937,805.5843,689.1652,1406.7797,1074.798,528.8823,706.5718,428.4199,664.1177,850.4434,987.536,774.4989,1776.6151,627.024,667.2976,958.0786,940.8867,874.8124,1137.5991,702.8443,726.128,741.5851,718.7661,727.4713,742.9675,662.3368,1453.8867,358.0945,573.9724,2116.9715,1213.32,972.7891,794.7368,572.9688,1391.3765,911.8241,1132.8401,776.9619,1047.6658,826.7836,1096.3558,331.2402,601.5523,514.9854,1026.3897,1239.0042,614.678,715.6301,1050.5594,668.495,1108.1719,925.9764,483.4707,1096.3399,308.1534,589.1869,857.1098,794.98,822.5373,648.9749,831.3384,898.2412,1003.3956,286.8749,817.8539,898.1132,951.8803,346.6543,669.9776,799.4088,476.7275,475.2834,993.1641,853.0214,408.7021,509.5091,880.0764,687.5,654.1683,780.5814,642.4079,658.5616,732.1088,999.5997,732.2691,554.6959,616.4265,555.3201,716.4548,647.9263,912.2425,598.2098,1198.2983,1031.9343,1018.5676,803.2534,650.7477,784.2469,2251.118,451.3972,711.6442,1046.4192,721.0007,697.3243,400.6586,537.1443,1060.9879,969.1571,957.954,1070.8003,843.2406,297.4138,773.9088,804.6925,529.798,1506.1055,829.0173,439.6476,1022.8281,1066.0248,738.0546,824.0126,693.8776,1132.3472,611.1539,641.9289,787.307,668.7974,863.5347,806.0682,821.2814,466.7657,677.9221,538.797,716.0563,700.0951,551.012,874.4894,603.8534,1065.1787,923.9843,939.2756,1186.4856,1165.4275,494.3225,1215.6116,803.9149,350.5654,647.619,674.2362
"APAF1",787.234,1039.1872,911.7163,666.9535,815.1223,582.0812,456.8588,808.6744,696.9656,1007.8497,762.3216,567.7042,577.7669,1113.9305,763.2743,567.4878,870.605,783.0756,1040.95,370.9957,1123.6427,1029.1917,749.3632,656.2798,921.1953,1102.3551,842.4031,841.4578,629.7649,1048.7929,803.3166,1507.2295,595.1209,757.7885,1036.9623,927.2769,801.2852,432.8073,639.7707,1016.6359,725.1822,708.5596,658.7396,395.8542,791.3505,795.5152,608.176,601.914,853.1401,999.6629,858.2593,744.4243,753.5502,949.9305,693.7198,752.4051,691.7582,825.8246,469.5358,816.7183,892.5899,1396.7899,636.9021,989.7196,772.103,662.4478,919.3479,328.8382,549.4842,629.4096,703.533,528.3688,789.6542,749.1996,740.811,684.8017,504.2873,732.9545,885.9649,470.8812,784.5511,587.0109,791.7644,1012.7911,1269.7161,558.8235,1066.2306,1322.9433,869.8049,2210.7787,820.5227,1112.2076,631.6785,857.3638,563.5428,406.8627,529.9729,405.0822,667.1445,599.7863,835.2615,732.6454,1246.7603,893.1346,722.9529,640.5063,1009.233,700.2953,1116.1243,425.9717,750.2041,1168.6713,1263.596,604.9399,1315.016,575.735,311.8995,682.7198,844.2143,321.3166,800.1854,980.9806,522.6974,940.8321,766.7141,721.2444,944.6108,1052.1666,882.9486,798.4014,773.8675,586.2226,863.988,675.8789,650.9744,742.8394,555.7756,1350.1684,715.7221,615.4605,808.984,735.4438,980.5768,697.5265,524.183,799.7115,768.3924,740.8602,700.2141,1062.7256,977.775,744.531,827.1787,821.5569,684.1547,672.4247,747.6538,961.3306,1079.2937,808.7811,497.1783,581.0328,520.6009,803.6561,956.9191,990.1342,1003.8234,776.9393,519.3329,1021.2566,1000,731.6906,1221.353,1104.5097,717.8047,1128.7346,758.7779,816.9311,1087.809,881.7234,984.8312,559.8204,1438.7987,505.2187,426.0094,676.0838,1090.9449,865.8087,677.5724,920.1257,802.3008,690.4527,694.2078,485.8644,590.6339,1106.6417,673.0574,1249.0444,1088.3392,811.9528,452.0081,686.8754,1377.0893,1319.215,879.4506,455.2362,954.3046,288.2596,687.0251,572.5694,415.0715,584.3143,570.6359,633.9017,656.3069,742.0853,781.1212,839.6947,1019.2525,605.5046,353.3597,1080.3942,817.4545,1010.6792,706.9864,674.0947,675.5,502.3122,699.2907,556.6146,538.3133,672.7502,845.278,822.1303,625.8141,716.9492,848.5796,883.6524,989.6198,738.07,1086.7802,639.0475,795.302,466.0356,399.909,260.1898,809.7737,386.0262,568.6137,462.6238,789.9207,732.7844,621.1962,637.4879,681.2339,399.7815,587.4242,1122.6457,1314.2292,903.916,969.2833,656.7418,355.0325,792.2902,639.4737,932.3578,691.1277,770.9221,640.7205,860.4865,1166.3882,684.7509,637.4305,950.5495,580.9898,790.2041,577.7653,1049.2965,560.7589,871.5221,804.9129,1335.9616,1132.735,610.3542,427.3342,993.6895,957.4479,556.407,567.8584,1123.8775,793.0426,632.3239,867.7911,960.4271,564.2332,1155.3439,692.0649,595.8491,1006.4699,1047.6778,886.8952,1250.8446,545.1591,642.6304,880.3711,418.0906,1105.6155,740.3804,608.2179,1218.5039,1050.1795,557.6845,495.5076,748.2057,1025.5248,788.7925,680.9456,854.7645,746.6574,710.4705,1158.8983,1197.235,547.0551,579.3138,797.5847,739.9635,1099.4695,753.3305,731.7897,601.1708,99.0712,936.7089,1005.4973,650.0965,1598.9467,611.2859,833.1504,1190.1635,609.879,974.2127,565.8612,422.7107,553.9895,447.6601,557.1359,637.9201,625.7576,1238.1743,838.9061,805.2863,1058.8381,871.6185,1117.3208,844.6551,1122.8832,642.6625,709.081,1083.4473,1287.5929,582.9005,1131.0962,581.7954,470.5882,1250.6498,998.7013,509.722,774.9511,899.6062,489.8802,877.4601,865.6015,800.6648,1039.7554,422.9403,632.6598,484.0149,641.9379,642.5512,1008.7629,830.7754,372.3675,929.3972
"ATM",911.9923,550.0726,615.6023,812.3924,658.8246,790.1079,605.9642,505.2499,772.4882,848.7968,519.3432,696.7075,590.9313,588.4916,510.5088,584.2413,422.5246,617.6976,294.0213,653.6797,843.8996,329.3038,641.8747,639.7456,700.5884,418.4783,423.1606,507.4581,689.9372,984.244,1052.0609,534.4978,741.2836,719.1751,188.2175,575.8201,283.737,474.4142,705.9083,1937.8928,862.3619,952.6765,1185.4935,563.0224,1045.8991,272.6643,508.1755,919.8397,665.2174,358.2425,183.3554,508.8038,535.0435,802.0399,419.8068,606.5823,343.956,438.4553,348.1625,573.9938,492.4634,810.3543,548.5194,859.3458,550.6438,516.5185,234.6632,322.6141,610.3564,275.1578,275.9857,429.078,281.0073,626.1117,542.1725,507.8975,668.3487,677.1694,448.3431,681.2261,468.8935,340.4031,623.4037,458.2923,242.5079,1635.6543,414.1455,366.9153,527.1416,737.6365,610.2998,609.7405,221.7494,261.1866,1951.5745,602.5327,245.9074,540.1096,310.8426,335.7474,463.6742,526.9702,199.2441,1075.5318,761.137,620.2532,748.1488,769.1929,353.8829,665.2817,631.0204,861.4452,425.6382,335.4907,669.6486,433.569,465.2624,574.0914,643.8541,621.8652,675.4752,794.59,565.7895,386.8498,363.4424,848.1375,844.3114,482.1203,672.742,453.8188,492.3192,429.7445,483.0545,253.607,390.2809,356.1644,292.961,593.5546,504.1133,784.1203,756.927,353.307,432.6074,150.53,446.4052,450.5891,428.4741,577.0609,781.1563,721.1191,719.4034,688.172,707.0409,932.9341,1127.186,767.2214,1000,998.7526,701.8333,596.6493,181.7156,721.6573,843.3476,733.9201,473.4552,763.2202,907.8855,357.2931,623.5948,785.9072,951.9704,941.1362,589.9678,493.536,544.2246,710.4569,572.2754,995.3734,592.3761,487.5608,480.2388,735.8025,401.4495,511.317,606.4742,387.6509,529.5276,888.4889,624.2434,785.1827,864.5079,468.1935,1408.4284,724.068,376.4353,631.899,758.7685,687.2488,585.6087,563.5578,593.7258,246.1692,531.594,612.7319,348.8499,1018.1698,601.9868,477.8874,724.0143,578.9579,261.5354,297.2628,580.0256,837.4214,404.3119,731.5323,647.1558,656.9376,522.3452,724.7706,658.8933,534.751,358.1818,611.2772,766.9447,713.0919,717,500.668,468.6829,636.6756,620.8566,621.0866,610.1808,823.1644,252.8123,679.661,472.9389,784.8143,425.6204,782.0785,779.9791,941.3194,832.2148,624.7216,742.9481,603.0151,887.5505,326.6376,327.2343,545.4818,543.0351,530.6886,520.4617,765.6737,443.7018,405.7892,404.3023,517.1671,280.6324,456.6007,908.7402,276.9034,318.9785,861.678,334.6491,541.6506,362.7695,579.3134,626.2464,871.9596,889.6314,1295.7005,738.1099,606.7504,772.906,821.9242,882.0887,485.6834,876.2856,690.2619,841.2552,873.5002,519.6032,515.4405,977.3855,907.8671,1308.2439,919.5402,878.3987,395.9753,490.8049,521.5943,692.6007,541.4573,527.4477,807.396,976.1046,881.1321,824.5047,375.4565,518.1032,467.0608,871.2606,1048.9796,642.5781,692.7156,692.0788,853.6046,322.9814,1004.9163,1071.8787,782.7927,526.5049,578.878,884.0649,498.9993,924.2231,1047.4978,809.0104,340.8224,748.9407,1102.7604,299.1197,709.1,637.8482,260.0365,572.0557,293.9279,732.2721,941.3518,74.3034,1094.8173,620.1899,525.7065,550.8887,497.4447,845.7739,612.8492,465.7258,1007.074,387.6372,612.029,852.0652,365.7635,628.2491,592.2638,329.2929,350.9188,566.9621,1010.5727,458.3085,415.4058,706.4846,502.159,424.2293,536.3955,674.3614,444.2544,502.5729,417.0995,680.0895,940.2565,832.5215,598.5889,645.4545,581.0467,950.8899,788.4099,620.8178,513.5537,775.3759,1093.1972,346.4395,658.3807,330.2418,484.3866,667.2975,395.5259,640.0364,541.5994,568.2093,220.0661
"ATR",713.2495,862.119,950.4661,971.1704,869.0351,697.5787,1067.992,847.8038,658.1254,571.8698,657.9893,486.3468,443.686,568.4993,887.7212,807.5202,944.2913,643.0412,515.1515,675.3247,669.7023,390.286,827.3051,883.0949,705.6652,735.5072,787.549,482.8541,517.5989,1165.1842,720.7207,1364.7744,724.1127,786.3098,427.9046,565.2673,711.3198,306.0736,880.9524,679.4824,692.1343,1096.4572,1114.1498,1013.7078,877.8452,391.4052,611.5414,597.3603,372.4638,458.4785,900.7388,990.716,765.0023,935.095,1005.314,578.2278,367.033,583.6685,571.0832,723.839,1000.527,846.2585,646.0137,975.2336,972.5322,926.075,518.6615,356.8465,748.4424,634.6082,379.4163,598.1087,441.5829,944.148,637.54,845.9108,398.0508,848.657,669.5906,717.6245,1123.5908,540.6402,754.2351,560.621,872.2397,551.6206,675.3884,627.8526,800.2545,1431.9453,726.7487,685.9,437.8251,563.4736,661.8994,1066.585,281.71,623.3184,613.0849,529.5026,508.0981,621.6738,248.3801,468.7301,535.8507,801.6878,922.5706,616.1417,768.4791,478.0216,754.6939,1026.6124,753.0522,510.3685,614.6965,767.0264,703.6216,604.6462,497.0734,669.279,449.235,869.8225,718.75,538.2404,371.6216,602.5379,758.982,376.9457,946.9421,829.4849,473.0636,595.3467,630.7259,495.4278,537.0792,341.8431,554.2297,687.3497,705.2102,602.1452,408.9001,406.4443,652.1483,360.424,264.7059,378.9372,713.8965,800,1020.1285,712.5451,1222.4206,737.1153,838.0108,595.8084,645.9989,805.1401,798.7487,829.9376,448.5435,1045.8694,524.8307,1028.694,564.8069,752.2004,446.9104,752.9597,803.1514,822.9618,739.7159,593.3059,906.4039,690.2806,578.9231,313.1674,769.3682,1021.9684,727.3142,564.9511,1205.2125,513.1341,675.496,525.2525,683.8132,509.9097,738.0411,1009.1463,698.0315,838.4484,1087.5184,916.1568,884.5334,703.991,746.5928,498.8681,425.5104,920.0187,657.7196,920.5136,1010.6007,884.3236,850.3059,1037.9747,864.6555,918.255,702.5837,845.3915,1038.0795,545.3388,1269.1039,678.3789,512.1902,376.6842,717.4563,969.0891,1125.0175,815.9561,670.6513,894.0278,720.2718,744.9541,956.1265,699.1701,597.4545,559.1628,655.8916,563.7883,624.5,475.1824,531.4961,694.2432,671.8633,649.7262,801.7415,883.6608,699.2303,701.2712,934.0631,749.4682,416.5349,706.2566,1083.9995,764.9131,820.2301,675.3898,576.8881,493.0207,969.113,490.8297,535.5384,577.9045,498.3012,482.0359,966.9465,786.7513,740.3599,471.3271,538.8858,385.9095,222.6614,636.6572,838.1065,419.8214,465.1978,765.9864,1047.3684,560.1335,476.7828,896.5672,914.1203,1184.4883,662.4079,1043.662,1053.1192,802.1978,1202.2982,1008.5131,1023.0208,552.9863,791.2132,845.7447,618.8273,856.0165,1418.9891,661.2171,905.5829,835.5069,667.3975,751.3836,537.7762,814.4542,913.6725,472.89,1022.8509,719.2211,1122.2411,923.9389,837.2408,980.7547,963.607,701.5378,991.0285,866.5541,1086.4953,629.0249,1250.9766,839.0958,870.212,600.1769,930.2437,617.126,686.3981,929.1794,694.0701,644.4998,898.3779,611.6077,685.391,754.4805,804.2747,553.6244,1179.0254,727.6498,1036.7547,1606.6634,937.56,760.9489,692.7498,577.7591,850.4583,529.6434,90.8153,1006.4485,802.5987,1026.4442,1184.4635,634.9558,1012.0746,745.7191,378.0242,795.2447,1175.7833,748.258,697.6345,438.4236,609.6126,706.4046,688.3838,937.9964,761.4433,718.0617,1062.4754,829.436,998.7201,691.7325,933.5649,974.6983,606.2575,1017.0999,504.8599,660.807,1777.1812,984.9859,887.973,1171.1846,498.2684,541.9771,601.2487,796.4385,561.3383,785.7408,836.9361,676.2436,725.6444,547.5852,667.1083,714.8699,642.6949,504.0457,696.4834,578.7561,427.0959,632.1222
